Gold Mine Production (tonnes),,,,,,,,,,,,,,,
Source: Metals Focus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North America,,,,,,,,,,,,,,,
Canada,102.1,102.0,106.4,131.4,151.2,157.7,163.1,171.2,191.9,185.2,173.3,192.9,194.5,191.8,202.1
United States,231.3,233.9,234.6,230.1,210.0,216.7,229.1,236.3,222.6,200.4,193.4,186.8,172.7,170.3,158.0
Mexico,78.7,94.4,107.5,109.8,113.4,131.7,130.7,119.6,118.4,109.0,110.4,124.8,124.0,126.6,140.3
Sub-total,412.1,430.3,448.5,471.3,474.6,506.1,523.0,527.1,532.8,494.6,477.0,504.5,491.2,488.7,500.4
,,,,,,,,,,,,,,,
Central & South America,,,,,,,,,,,,,,,
Peru,184.8,183.8,189.8,182.4,171.1,170.5,166.0,166.6,162.6,143.3,101.6,127.3,125.7,128.8,136.9
Brazil,71.5,77.7,80.2,89.3,90.4,95.4,98.9,95.4,97.0,100.0,98.9,93.2,90.1,81.5,83.7
Colombia,43.6,45.9,56.2,46.0,47.9,49.6,53.2,53.2,43.9,45.5,53.6,59.9,57.4,67.4,65.8
Argentina,63.9,59.0,54.2,49.7,60.0,63.9,58.2,62.0,58.7,53.1,36.0,37.7,41.5,39.2,39.7
Chile,39.5,45.1,49.9,51.3,46.0,42.5,46.3,37.9,37.1,38.5,33.9,34.2,30.1,35.4,34.8
Venezuela,24.9,25.5,21.0,22.8,22.7,22.6,23.0,23.0,26.0,27.8,33.4,35.0,30.0,30.0,30.6
Suriname,20.4,20.1,20.0,18.5,18.4,17.4,21.2,34.1,34.3,32.8,29.8,28.3,28.9,30.1,27.7
Bolivia,6.4,6.5,10.3,13.3,34.7,22.1,21.8,28.6,31.3,42.0,23.2,45.7,53.4,46.6,26.5
Ecuador,15.2,15.6,16.0,15.9,15.3,14.2,12.2,11.5,11.5,11.4,13.5,21.3,22.8,23.1,24.3
Dominican Republic,0.1,0.5,4.2,26.6,36.2,31.2,38.0,35.3,31.7,31.8,28.3,25.5,22.4,17.6,18.4
Guyana,11.9,13.9,15.6,18.4,17.3,18.2,23.0,22.3,19.2,19.7,18.2,15.5,15.1,13.0,13.5
Other,22.3,26.5,22.1,22.9,21.6,20.2,18.0,14.2,12.5,14.5,15.7,20.4,20.1,21.9,17.5
